Job Title,Company Name,Required Skills,Location,Industry,Job Type,Experience Level,Posting Date,Salary Range
Business Intelligence Analyst,Netflix,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",San Francisco,Education,Part-Time,Mid-level,2023-05-20,120k-150k
Investment Analyst,Facebook,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",Chicago,Finance,Part-Time,Mid-level,2024-05-14,120k-150k
Customer Support Specialist,Tesla,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",Berlin,Tech,Full-Time,Senior,2023-05-17,150k-200k
Recruitment Specialist,IBM,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",Toronto,Consulting,Full-Time,Mid-level,2023-04-02,80k-100k
Data Analyst,Facebook,"['Python', 'SQL', 'Tableau', 'Excel']",Remote,E-commerce,Internship,Entry-level,2022-12-14,120k-150k
Back-End Developer,Accenture,"['Node.js', 'Python', 'SQL', 'API Development']",Remote,Tech,Internship,Senior,2024-04-25,150k-200k
HR Manager,Accenture,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Chicago,E-commerce,Contract,Entry-level,2024-08-11,60k-80k
Investment Analyst,Facebook,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",New York,Consulting,Internship,Senior,2021-10-23,60k-80k
Full-Stack Developer,Google,"['JavaScript', 'React', 'Node.js', 'SQL']",Remote,Consulting,Contract,Entry-level,2022-11-24,60k-80k
Social Media Manager,Google,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",New York,Consulting,Full-Time,Entry-level,2023-01-28,60k-80k
Customer Success Manager,Salesforce,"['Account Management', 'Client Relations', 'Upselling', 'CRM']",Chicago,Education,Part-Time,Mid-level,2022-06-02,150k-200k
Customer Support Specialist,Salesforce,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",New York,Healthcare,Internship,Entry-level,2022-05-10,150k-200k
Back-End Developer,Salesforce,"['Node.js', 'Python', 'SQL', 'API Development']",Toronto,Tech,Internship,Senior,2022-04-15,100k-120k
Digital Marketing Specialist,Accenture,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",Sydney,Tech,Internship,Senior,2024-07-12,150k-200k
Investment Analyst,Microsoft,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",New York,E-commerce,Contract,Mid-level,2024-07-24,150k-200k
Digital Marketing Specialist,Facebook,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",Toronto,Finance,Part-Time,Senior,2023-08-09,80k-100k
Software Engineer,Adobe,"['Java', 'Python', 'C++', 'AWS']",Sydney,E-commerce,Internship,Mid-level,2022-07-31,120k-150k
Technical Product Manager,IBM,"['Agile', 'Technical Writing', 'API', 'Software Development']",New York,Healthcare,Contract,Mid-level,2023-01-15,60k-80k
SEO Analyst,Netflix,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",Sydney,Education,Full-Time,Entry-level,2024-02-21,80k-100k
Software Engineer,Netflix,"['Java', 'Python', 'C++', 'AWS']",Toronto,Education,Part-Time,Senior,2022-08-09,150k-200k
Financial Analyst,Amazon,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",London,Manufacturing,Internship,Mid-level,2024-06-10,120k-150k
SEO Analyst,Tesla,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",Austin,E-commerce,Contract,Mid-level,2023-09-07,120k-150k
Business Intelligence Analyst,Accenture,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",San Francisco,Manufacturing,Contract,Senior,2024-09-15,80k-100k
Financial Analyst,Netflix,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",New York,Consulting,Full-Time,Mid-level,2023-08-14,60k-80k
